id,nombre,precio,claveHash,slot,probes,durationNs
1000,Rosas variedad #0,10.00,1000,138,1,4200
1001,Tulipanes variedad #1,11.00,1001,139,1,1400
1002,Lirios variedad #2,12.00,1002,140,1,300
1003,Girasoles variedad #3,13.00,1003,141,1,100
1004,Orquideas variedad #4,14.00,1004,142,1,100
1005,Claveles variedad #5,15.00,1005,143,1,200
1006,Margaritas variedad #6,16.00,1006,144,1,200
1007,Crisantemos variedad #7,17.00,1007,145,1,100
1008,Astromelias variedad #8,18.00,1008,146,1,100
1009,Gerberas variedad #9,19.00,1009,147,1,100
1010,Rosas variedad #10,20.00,1010,148,1,100
1011,Tulipanes variedad #11,21.00,1011,149,1,200
1012,Lirios variedad #12,22.00,1012,150,1,100
1013,Girasoles variedad #13,23.00,1013,151,1,100
1014,Orquideas variedad #14,24.00,1014,152,1,200
1015,Claveles variedad #15,25.00,1015,153,1,200
1016,Margaritas variedad #16,26.00,1016,154,1,200
1017,Crisantemos variedad #17,27.00,1017,155,1,100
1018,Astromelias variedad #18,28.00,1018,156,1,100
1019,Gerberas variedad #19,29.00,1019,157,1,100
1020,Rosas variedad #20,30.00,1020,158,1,100
1021,Tulipanes variedad #21,31.00,1021,159,1,100
1022,Lirios variedad #22,32.00,1022,160,1,200
1023,Girasoles variedad #23,33.00,1023,161,1,13800
1024,Orquideas variedad #24,34.00,1024,162,1,300
1025,Claveles variedad #25,35.00,1025,163,1,100
1026,Margaritas variedad #26,36.00,1026,164,1,200
1027,Crisantemos variedad #27,37.00,1027,165,1,200
1028,Astromelias variedad #28,38.00,1028,166,1,100
1029,Gerberas variedad #29,39.00,1029,167,1,200
1030,Rosas variedad #30,40.00,1030,168,1,100
1031,Tulipanes variedad #31,41.00,1031,169,1,200
1032,Lirios variedad #32,42.00,1032,170,1,200
1033,Girasoles variedad #33,43.00,1033,171,1,200
1034,Orquideas variedad #34,44.00,1034,172,1,200
1035,Claveles variedad #35,45.00,1035,173,1,100
1036,Margaritas variedad #36,46.00,1036,174,1,200
1037,Crisantemos variedad #37,47.00,1037,175,1,200
1038,Astromelias variedad #38,48.00,1038,176,1,100
1039,Gerberas variedad #39,49.00,1039,177,1,200
1040,Rosas variedad #40,50.00,1040,178,1,200
1041,Tulipanes variedad #41,51.00,1041,179,1,200
1042,Lirios variedad #42,52.00,1042,180,1,100
1043,Girasoles variedad #43,53.00,1043,181,1,100
1044,Orquideas variedad #44,54.00,1044,182,1,15500
1045,Claveles variedad #45,55.00,1045,183,1,600
1046,Margaritas variedad #46,56.00,1046,184,1,100
1047,Crisantemos variedad #47,57.00,1047,185,1,200
1048,Astromelias variedad #48,58.00,1048,186,1,100
1049,Gerberas variedad #49,59.00,1049,187,1,200
1050,Rosa Imperial PROMOCION,5.00,1050,188,1,200
1051,Tulipanes variedad #51,11.00,1051,189,1,200
1052,Lirios variedad #52,12.00,1052,190,1,200
1053,Girasoles variedad #53,13.00,1053,191,1,200
1054,Orquideas variedad #54,14.00,1054,192,1,100
1055,Claveles variedad #55,15.00,1055,193,1,200
1056,Margaritas variedad #56,16.00,1056,194,1,200
1057,Crisantemos variedad #57,17.00,1057,195,1,1600
1058,Astromelias variedad #58,18.00,1058,196,1,200
1059,Gerberas variedad #59,19.00,1059,197,1,200
1060,Rosas variedad #60,20.00,1060,198,1,200
1061,Tulipanes variedad #61,21.00,1061,199,1,200
1062,Lirios variedad #62,22.00,1062,200,1,300
1063,Girasoles variedad #63,23.00,1063,201,1,100
1064,Orquideas variedad #64,24.00,1064,202,1,400
1065,Claveles variedad #65,25.00,1065,203,1,200
1066,Margaritas variedad #66,26.00,1066,204,1,200
1067,Crisantemos variedad #67,27.00,1067,205,1,300
1068,Astromelias variedad #68,28.00,1068,206,1,200
1069,Gerberas variedad #69,29.00,1069,207,1,200
1070,Rosas variedad #70,30.00,1070,208,1,200
1071,Tulipanes variedad #71,31.00,1071,209,1,200
1072,Lirios variedad #72,32.00,1072,210,1,200
1073,Girasoles variedad #73,33.00,1073,211,1,100
1074,Orquideas variedad #74,34.00,1074,212,1,200
1075,Claveles variedad #75,35.00,1075,213,1,200
1076,Margaritas variedad #76,36.00,1076,214,1,200
1077,Crisantemos variedad #77,37.00,1077,215,1,200
