idProducto,nombreProducto,idMarca,nombreMarca,paisMarca,slotMarca,probesMarca,marcaDurationNs
1000,Rosas variedad #0,5,Finca Países Bajos S.A.,Holanda,5,1,400
1001,Tulipanes variedad #1,6,Floricola Quiteña,Ecuador,6,1,1000
1002,Lirios variedad #2,7,Cooperativa Antigua,Guatemala,7,1,200
1003,Girasoles variedad #3,5,Finca Países Bajos S.A.,Holanda,5,1,100
1004,Orquideas variedad #4,6,Floricola Quiteña,Ecuador,6,1,100
1005,Claveles variedad #5,7,Cooperativa Antigua,Guatemala,7,1,100
1006,Margaritas variedad #6,5,Finca Países Bajos S.A.,Holanda,5,1,100
1007,Crisantemos variedad #7,6,Floricola Quiteña,Ecuador,6,1,100
1008,Astromelias variedad #8,7,Cooperativa Antigua,Guatemala,7,1,100
1009,Gerberas variedad #9,5,Finca Países Bajos S.A.,Holanda,5,1,100
1010,Rosas variedad #10,6,Floricola Quiteña,Ecuador,6,1,400
1011,Tulipanes variedad #11,7,Cooperativa Antigua,Guatemala,7,1,200
1012,Lirios variedad #12,5,Finca Países Bajos S.A.,Holanda,5,1,100
1013,Girasoles variedad #13,6,Floricola Quiteña,Ecuador,6,1,100
1014,Orquideas variedad #14,7,Cooperativa Antigua,Guatemala,7,1,100
1015,Claveles variedad #15,5,Finca Países Bajos S.A.,Holanda,5,1,100
1016,Margaritas variedad #16,6,Floricola Quiteña,Ecuador,6,1,100
1017,Crisantemos variedad #17,7,Cooperativa Antigua,Guatemala,7,1,100
1018,Astromelias variedad #18,5,Finca Países Bajos S.A.,Holanda,5,1,100
1019,Gerberas variedad #19,6,Floricola Quiteña,Ecuador,6,1,100
1020,Rosas variedad #20,7,Cooperativa Antigua,Guatemala,7,1,200
1021,Tulipanes variedad #21,5,Finca Países Bajos S.A.,Holanda,5,1,100
1022,Lirios variedad #22,6,Floricola Quiteña,Ecuador,6,1,100
1023,Girasoles variedad #23,7,Cooperativa Antigua,Guatemala,7,1,200
1024,Orquideas variedad #24,5,Finca Países Bajos S.A.,Holanda,5,1,100
1025,Claveles variedad #25,6,Floricola Quiteña,Ecuador,6,1,100
1026,Margaritas variedad #26,7,Cooperativa Antigua,Guatemala,7,1,100
1027,Crisantemos variedad #27,5,Finca Países Bajos S.A.,Holanda,5,1,100
1028,Astromelias variedad #28,6,Floricola Quiteña,Ecuador,6,1,100
1029,Gerberas variedad #29,7,Cooperativa Antigua,Guatemala,7,1,100
1030,Rosas variedad #30,5,Finca Países Bajos S.A.,Holanda,5,1,100
1031,Tulipanes variedad #31,6,Floricola Quiteña,Ecuador,6,1,200
1032,Lirios variedad #32,7,Cooperativa Antigua,Guatemala,7,1,100
1033,Girasoles variedad #33,5,Finca Países Bajos S.A.,Holanda,5,1,100
1034,Orquideas variedad #34,6,Floricola Quiteña,Ecuador,6,1,200
1035,Claveles variedad #35,7,Cooperativa Antigua,Guatemala,7,1,100
1036,Margaritas variedad #36,5,Finca Países Bajos S.A.,Holanda,5,1,100
1037,Crisantemos variedad #37,6,Floricola Quiteña,Ecuador,6,1,100
1038,Astromelias variedad #38,7,Cooperativa Antigua,Guatemala,7,1,100
1039,Gerberas variedad #39,5,Finca Países Bajos S.A.,Holanda,5,1,100
1040,Rosas variedad #40,6,Floricola Quiteña,Ecuador,6,1,100
1041,Tulipanes variedad #41,7,Cooperativa Antigua,Guatemala,7,1,100
1042,Lirios variedad #42,5,Finca Países Bajos S.A.,Holanda,5,1,100
1043,Girasoles variedad #43,6,Floricola Quiteña,Ecuador,6,1,100
1044,Orquideas variedad #44,7,Cooperativa Antigua,Guatemala,7,1,100
1045,Claveles variedad #45,5,Finca Países Bajos S.A.,Holanda,5,1,100
1046,Margaritas variedad #46,6,Floricola Quiteña,Ecuador,6,1,100
1047,Crisantemos variedad #47,7,Cooperativa Antigua,Guatemala,7,1,100
1048,Astromelias variedad #48,5,Finca Países Bajos S.A.,Holanda,5,1,200
1049,Gerberas variedad #49,6,Floricola Quiteña,Ecuador,6,1,100
1050,Rosas variedad #50,7,Cooperativa Antigua,Guatemala,7,1,100
1051,Tulipanes variedad #51,5,Finca Países Bajos S.A.,Holanda,5,1,100
1052,Lirios variedad #52,6,Floricola Quiteña,Ecuador,6,1,100
1053,Girasoles variedad #53,7,Cooperativa Antigua,Guatemala,7,1,100
1054,Orquideas variedad #54,5,Finca Países Bajos S.A.,Holanda,5,1,100
1055,Claveles variedad #55,6,Floricola Quiteña,Ecuador,6,1,100
1056,Margaritas variedad #56,7,Cooperativa Antigua,Guatemala,7,1,100
1057,Crisantemos variedad #57,5,Finca Países Bajos S.A.,Holanda,5,1,100
1058,Astromelias variedad #58,6,Floricola Quiteña,Ecuador,6,1,100
1059,Gerberas variedad #59,7,Cooperativa Antigua,Guatemala,7,1,100
1060,Rosas variedad #60,5,Finca Países Bajos S.A.,Holanda,5,1,100
